,x-mean,y-mean,z-mean,x-std,y-std,z-std,x-aab,y-aab,z-aab,x_min,y_min,z_min,x_median,y_median,z_median,x_IQR,y_IQR,z_IQR,x_pos_count,y_pos_count,z_pos_count,x_neg_count,y_neg_count,z_neg_count,x-above-mean,y_above_mean,z_above_mean,x_peak_count,y_peak_count,z_peak_count,x_skewness,y_skewness,z_skewness,x_kurtosis,y_kurtosis,z_kurtosis,x-energy,y_energy,z_energy,average accel,sma,x_argmax,y_argmax,z_argmax,x_argmin,y_argmin,z_argmin,x_arg_diff,y_arg_diff,z_arg_diff
0,-0.05747787925999999,8.581908749,2.2626121617,3.936271804268593,7.781447796318834,4.934884938864053,3.1386456862139998,6.7879999761,3.8531309678319996,-8.662541,-8.267551,-10.18802,-0.61291564,10.419566,2.4720931000000004,5.124655825,12.217451775,6.01678892,45,87,71,55,13,29,45,55,52,40,29,35,0.21590057071377342,-0.290667125490045,-0.21007866888944043,0.07236606986458227,-0.9896813386365695,0.15563121252894518,15.49753942368415,134.20008758299798,29.472503154100007,11.914043369167016,17.28531093264,45,10,87,27,80,18,18,70,69
1,-0.61141740286,7.8669766146999995,1.4750836296999998,3.789922308220486,8.331249737671794,4.813086080117047,3.0145888222252,7.329406017593999,3.8573641648940002,-9.425281,-8.267551,-9.112013,-1.2666923,7.49119125,1.3756551,5.14168125,12.891658749999998,5.96911722,40,83,65,60,17,35,41,49,49,39,30,34,0.4284885404032312,-0.16266656154070508,-0.16214424995786728,0.643129462022284,-1.102414627533659,-0.2337082283124996,14.737342342867361,131.29904324769302,25.34166932922541,11.481860220253031,16.65768519782,78,5,37,92,30,95,14,25,58
2,-0.2809877718999999,8.2268261964,1.2583839244,4.156853654545676,8.533715448422235,5.155535632338816,3.4079771683859996,7.602205235384,4.081881995599999,-9.425281,-7.7772183,-11.032481,-0.53800373,6.7965535,1.24626185,5.751191674999999,14.757647024999999,6.7420721,45,82,66,54,18,34,47,47,50,38,30,34,0.1403622539242216,-0.16786177611759176,-0.32409367045373066,-0.19207863881751752,-1.2223929556294686,-0.4573523402459152,17.35838643326707,140.5049686204136,28.163077757503544,11.998830979979038,17.45570139378,28,18,85,42,45,59,14,27,26
3,-0.4295857886,8.8293904417,1.3418766703,4.517033213501379,8.476620646375729,5.662875231272552,3.532153886428,7.384203459466001,4.4797323517,-13.565866,-10.61025,-11.536434,-0.50395286,9.0234805,1.3620348,5.66265955,13.286649424999998,7.341367275,46,84,63,53,16,37,49,51,50,35,30,36,-0.494683603820141,-0.4005004664162323,-0.24773673232227214,0.060907676695292956,-0.993331064180976,-0.351976954917546,20.58813300164168,149.81123315454658,33.868788883255576,12.91453441231509,18.747182814200002,41,0,69,90,81,81,49,81,12
4,-1.5948065191000003,7.985065113000001,1.69913840006,4.649891384759851,8.197226958985702,5.682131031571592,3.588574803484,6.959796139259998,4.2831226399412,-13.593107,-10.61025,-11.536434,-0.932993815,7.54567265,1.6480621,5.775027175,13.170876274999998,5.79205295,40,83,61,60,17,39,62,49,49,37,35,38,-0.6557872859092828,-0.1497378522601873,0.21258522015967082,0.20220811651153525,-1.0000713057302775,0.3283308151244584,24.164897723427742,130.95579467597173,35.17368436250729,12.141786330993579,17.635081452039998,64,4,74,95,31,31,31,27,43
5,-1.0343291925000002,7.1784680898,1.7947532171599996,5.278867137184791,8.245191287037747,5.07112923570958,4.2448194746,6.930348913384002,3.7551407695264003,-13.593107,-9.043911,-10.923519,-0.14982383,6.2653601000000005,1.6480621,6.673970475,14.9415215,5.114440525,47,80,65,53,20,35,56,46,48,41,34,35,-0.2622408684481562,0.07002558736335446,0.4758271470874735,-0.21776909999422855,-1.0448172182465632,0.880178043212605,28.936275130507255,119.51358347612,28.937490835774604,11.57298342312307,16.963734486939998,50,4,24,45,71,71,5,67,47
6,0.1994018829,7.250792145799998,1.1566399211000002,5.889370109111282,8.160405868856751,5.0565051089056645,4.824348912726,6.7825381929479995,3.826903648368,-12.53072,-9.084772,-14.437569,0.44266130000000004,6.7080214,1.5118586,8.512717,13.089154925,6.4151838,55,82,65,45,17,34,53,47,56,40,33,35,-0.18324462844632128,-0.03614762815350074,-0.6124113086407688,-0.7886152157186932,-0.9081616453883163,0.8937141524870489,34.724441392997505,119.16621068606669,26.906059823471303,11.967123223993447,17.8427916966,61,26,48,19,96,72,42,70,24
7,-0.4219583855000002,7.8771919728,1.91134340054,5.518638445130729,8.089807202770736,5.295792247573634,4.41052462663,6.795191527200001,3.9448640134276007,-11.073342,-9.084772,-14.437569,-0.03405087,7.954283500000001,2.3971811499999998,7.75678805,12.813342625,5.72395094,50,85,67,50,14,32,53,50,53,41,35,37,-0.05874477205060226,-0.07022853703781856,-0.4396792037166242,-0.6853912312167201,-0.9361920995831512,1.105205535735835,30.63341916716867,127.495133954346,31.69864912424882,12.10541529958805,18.009504782040004,11,2,60,62,46,22,51,44,38
8,-0.9685428977000001,8.005495593000001,2.51513340018,5.23216037524232,8.346462705718091,5.531909258251101,4.0784006382080005,7.155585907,4.0900160598056,-14.246883,-8.308413,-13.211738,-0.7218784,7.9338523,2.8126018,5.66606485,14.6997604,6.044029139999999,46,83,71,54,17,29,52,50,54,40,36,41,-0.23571258253634222,-0.044474391413525376,-0.07729935640576042,-0.1626264225665155,-1.1197754718972759,0.7807045870931817,28.31357753694097,133.75139938748538,36.92791606222525,12.165537630158042,18.18793132468,53,2,58,62,75,75,9,73,17
9,-0.5213869218999999,7.765777418599999,1.55557990274,5.68133916482668,8.295764285418464,5.725908755329321,4.4060626489759995,7.040760884516001,4.456643156931199,-14.246883,-8.812365,-13.211738,-0.36093922,6.8033638,2.66277805,6.5173364,13.8110328,7.1881385,47,83,66,53,17,34,52,47,56,38,36,38,-0.2487233959074491,-0.07455900688251076,-0.2681574566995267,-0.16481129906970038,-1.0669754581478206,0.42218239909952127,32.54945902812187,129.12700399446223,35.20585990816556,12.363096983410983,18.44045257504,54,6,8,12,52,25,42,46,17
